budget_usd,channel,industry,audience_size,duration_days,country,predicted_roi
9042.29,facebook,retail,245949,46,EG,2.0723
5517.61,x,ecommerce,224850,9,AE,3.3674
2018.18,tiktok,services,327701,33,AE,2.8295
18061.79,instagram,services,414269,49,LB,1.9636
9169.95,facebook,ecommerce,159044,34,AE,3.0321
4127.03,tiktok,fnb,424978,18,LB,2.6038
6188.54,facebook,fnb,93240,6,JO,1.9963
11626.47,x,services,147225,34,LB,1.4636
3617.78,instagram,retail,156024,43,EG,1.6118
17146.62,tiktok,retail,476756,34,SA,3.4172
15194.54,facebook,ecommerce,60168,58,AE,2.9934
14417.31,facebook,retail,198162,37,JO,2.0887
8698.65,instagram,services,212794,31,LB,2.4015
12583.45,facebook,fnb,400238,6,JO,2.8919
11723.55,google,retail,243463,34,EG,2.6168
13031.95,x,services,483443,12,EG,2.3244
1780.44,x,ecommerce,370419,44,JO,2.0645
8374.57,instagram,fnb,352125,12,SA,4.1995
928.12,google,retail,376706,54,AE,2.9609
9930.42,tiktok,retail,81613,20,LB,2.6479
6664.24,facebook,retail,225076,27,JO,2.1948
2976.03,facebook,ecommerce,293482,11,SA,2.9178
2157.72,tiktok,fnb,105029,15,JO,2.416
11794.13,tiktok,fnb,60269,55,AE,3.1316
3494.8,facebook,retail,68747,19,JO,1.9497
18509.89,x,fnb,394781,32,JO,2.0218
11663.12,google,ecommerce,328783,58,AE,3.3445
7002.71,tiktok,fnb,141376,38,SA,2.4473
11859.22,x,services,368866,5,EG,2.2801
553.8,x,retail,347912,23,AE,2.1423
19175.33,x,retail,408434,25,LB,2.0794
9697.84,instagram,services,455134,18,AE,3.8753
15676.43,x,retail,441234,16,SA,2.791
1746.33,tiktok,fnb,91323,31,LB,2.5934
9784.5,google,fnb,384859,24,AE,3.0798
9865.07,x,retail,197036,19,JO,2.4435
18762.75,facebook,services,202157,26,LB,2.241
11477.39,tiktok,ecommerce,323912,22,LB,3.2198
9522.44,facebook,retail,301491,16,SA,3.284
5412.82,instagram,ecommerce,210409,28,LB,2.2169
6698.22,tiktok,services,499743,56,LB,2.0328
10461.38,x,services,88234,31,LB,1.8553
8834.34,x,retail,49359,37,LB,1.1991
530.08,instagram,ecommerce,15506,59,JO,1.8767
16543.21,instagram,retail,407305,37,LB,2.5176
17933.6,tiktok,ecommerce,203892,15,SA,5.3353
2890.96,x,services,219234,25,EG,1.3877
11125.32,x,fnb,324955,30,EG,2.6535
2260.66,instagram,retail,218262,30,EG,2.0669
13477.58,facebook,services,287418,11,AE,2.6376
5696.55,google,retail,30168,9,JO,1.6221
13222.51,instagram,services,78964,22,LB,1.8467
14567.19,facebook,ecommerce,466086,55,LB,2.3835
15396.09,facebook,fnb,225896,43,JO,1.9347
2244.04,tiktok,retail,84525,50,LB,2.041
18328.64,instagram,retail,185366,12,LB,2.157
4681.26,tiktok,retail,168059,26,LB,1.9609
844.51,instagram,retail,137826,36,LB,1.6646
11141.56,google,retail,147512,27,LB,2.2324
7481.35,google,services,364906,26,SA,2.8082
16612.82,tiktok,fnb,54276,23,EG,2.9611
16184.2,facebook,ecommerce,155516,5,LB,2.5186
6411.06,tiktok,ecommerce,234507,51,JO,3.0896
19062.7,google,ecommerce,270530,56,LB,2.3722
5889.26,instagram,services,440372,7,EG,2.0292
10349.64,instagram,fnb,461688,26,JO,2.8114
5193.71,tiktok,ecommerce,149409,32,SA,3.9472
18727.27,instagram,retail,270098,47,SA,2.5576
3375.7,tiktok,fnb,12155,59,LB,1.6429
993.72,instagram,fnb,308894,26,AE,2.8505
8758.43,instagram,services,77298,45,JO,1.9136
19848.27,google,services,37549,56,AE,2.2809
17844.38,tiktok,ecommerce,336188,50,LB,3.1462
14997.3,tiktok,ecommerce,89888,19,EG,2.6542
17826.77,google,fnb,239210,49,EG,2.0726
17879.59,instagram,ecommerce,51374,26,LB,2.5336
10425.28,facebook,retail,373089,3,LB,1.9106
6386.99,x,ecommerce,382641,46,LB,1.6216
15463.05,facebook,retail,287829,50,LB,1.7545
13267.06,tiktok,ecommerce,418124,22,EG,3.4152
7535.79,instagram,fnb,218964,28,LB,2.3209
1979.89,instagram,ecommerce,94041,23,EG,2.6207
14961.11,facebook,retail,76515,9,LB,1.7254
5322.96,x,fnb,110416,59,JO,1.9251
18742.58,tiktok,ecommerce,100953,4,EG,3.3551
4895.31,instagram,retail,162280,34,AE,2.6685
2542.88,google,fnb,107954,3,SA,2.7409
16639.14,facebook,retail,295947,42,LB,2.0057
3150.36,tiktok,fnb,75032,54,LB,2.3627
3667.44,tiktok,fnb,311276,39,SA,3.1367
12027.72,tiktok,services,167716,37,LB,2.4611
17503.78,facebook,fnb,343690,50,EG,2.3742
4009.05,x,retail,256948,58,AE,2.4794
6275.44,instagram,retail,452691,52,LB,2.3718
15570.36,google,ecommerce,220498,16,SA,3.8757
19439.35,google,ecommerce,148225,35,SA,3.5123
10064.75,instagram,retail,294970,49,EG,2.4883
2963.56,facebook,retail,329720,19,LB,1.8268
377.33,instagram,retail,220180,41,SA,2.89
4670.15,x,ecommerce,280301,4,JO,2.0727
2723.26,x,services,235961,53,AE,1.8774
13585.41,x,ecommerce,153612,38,JO,2.0455
2524.47,instagram,fnb,157468,45,EG,1.9298
10175.97,google,services,453800,50,SA,2.9068
13915.82,facebook,retail,337992,15,JO,1.99
11664.22,google,services,48646,28,JO,2.277
4075.54,tiktok,services,481077,51,AE,2.5182
16102.08,google,fnb,356288,12,JO,2.72
14336.6,google,services,26032,49,LB,1.9477
14805.78,x,services,364208,19,LB,1.361
2708.05,tiktok,fnb,295222,35,LB,2.994
2562.7,instagram,retail,457747,32,AE,2.8615
18558.49,tiktok,retail,245196,42,JO,2.6457
8011.81,facebook,ecommerce,259771,50,EG,2.5343
6088.88,facebook,fnb,158041,22,EG,2.5243
9822.82,tiktok,fnb,161489,12,LB,2.7223
13291.0,x,services,309342,27,SA,2.7547
19116.9,tiktok,fnb,414042,37,AE,4.3991
5800.28,google,fnb,445444,45,SA,3.7234
18503.69,facebook,services,385634,45,AE,2.916
594.7,tiktok,services,305275,22,AE,3.5846
11148.44,google,services,250657,56,JO,2.1705
12716.1,instagram,retail,170463,7,SA,2.4084
2207.36,facebook,fnb,384160,9,SA,3.5498
2892.76,facebook,fnb,159754,4,LB,1.7158
8440.37,x,services,134669,55,EG,1.8794
19328.02,google,retail,434064,13,SA,3.3174
11961.25,instagram,retail,295163,37,AE,3.6771
18667.16,instagram,ecommerce,177755,49,EG,2.6377
16106.78,facebook,services,432726,46,LB,2.0237
9400.89,x,ecommerce,481378,57,SA,2.6356
15716.79,facebook,fnb,159674,6,JO,2.6844
454.95,google,ecommerce,261187,26,SA,3.1476
2271.97,instagram,fnb,242291,31,LB,2.4461
16605.63,instagram,services,351122,42,AE,2.3325
15956.66,instagram,retail,475571,38,LB,2.3468
4729.55,x,ecommerce,274716,34,SA,2.883
10662.31,facebook,fnb,399307,20,AE,3.4382
12159.71,instagram,ecommerce,298206,9,LB,3.0802
17368.01,instagram,fnb,443632,27,EG,2.9103
12101.83,instagram,ecommerce,202889,17,LB,2.8034
8310.17,facebook,fnb,193238,34,AE,3.409
7546.26,x,retail,211787,48,JO,1.2173
8575.05,instagram,retail,498256,34,LB,2.4571
13073.43,tiktok,services,306109,36,AE,3.2788
17363.06,instagram,retail,77130,5,AE,2.7615
9132.55,x,fnb,21405,39,SA,2.3332
5032.01,instagram,services,259866,28,AE,3.4061
4809.58,instagram,fnb,403042,10,JO,2.8431
14945.68,instagram,retail,240157,15,LB,2.331
16349.72,instagram,services,280544,47,JO,2.452
2195.03,facebook,services,399417,55,SA,2.3438
1424.52,google,services,258655,31,LB,1.748
11929.23,facebook,ecommerce,454400,58,LB,2.0179
3008.85,instagram,retail,319329,13,LB,1.9342
16510.82,instagram,fnb,365838,20,AE,4.3743
6275.66,instagram,retail,390950,56,AE,2.8722
2963.05,google,ecommerce,313781,12,EG,2.3202
18427.31,tiktok,services,25983,40,AE,2.3817
3394.08,x,retail,214287,15,EG,1.9891
5765.93,instagram,services,71601,21,AE,2.6677
3156.91,x,retail,255652,30,AE,2.4267
2398.25,facebook,fnb,72439,23,AE,3.0578
520.85,tiktok,services,255140,52,AE,2.1157
1202.37,google,services,172575,58,JO,1.5889
3575.37,tiktok,ecommerce,11163,31,AE,3.2176
1162.3,x,services,63312,32,AE,1.9702
11863.76,instagram,ecommerce,252019,6,JO,3.2658
13646.22,facebook,services,40330,16,EG,1.6356
7933.25,google,retail,428129,5,LB,2.2795
6428.02,facebook,retail,379589,51,JO,2.1099
10140.07,google,ecommerce,354927,15,LB,2.6348
17512.6,google,retail,86886,22,LB,2.1662
17037.52,x,fnb,398058,51,SA,2.7969
965.15,tiktok,retail,317711,43,EG,2.2984
3711.82,x,fnb,195852,38,LB,1.8321
4811.22,facebook,services,1207,5,EG,1.624
5062.81,tiktok,retail,264957,35,LB,2.0182
11467.53,facebook,fnb,398157,34,EG,2.7594
8383.62,google,ecommerce,17708,21,LB,2.6016
1080.16,google,retail,27262,45,SA,2.1391
7534.92,x,retail,192115,55,EG,1.3935
10522.68,google,fnb,256275,17,AE,3.4897
2123.27,instagram,ecommerce,237733,21,EG,2.8243
16685.83,facebook,fnb,213675,21,EG,2.2306
1134.04,x,services,128349,50,EG,1.3367
18504.35,tiktok,retail,30872,7,AE,2.6931
2072.35,facebook,services,16589,54,EG,1.5153
16887.14,x,retail,50306,47,EG,1.7727
18062.8,x,services,345513,30,AE,2.0952
19593.46,tiktok,retail,393203,36,EG,3.0278
16060.32,google,ecommerce,218108,53,JO,2.548
15611.6,facebook,fnb,39631,46,JO,2.1095
12885.42,facebook,retail,208423,18,EG,2.1623
15602.03,instagram,fnb,492835,5,EG,2.6312
2777.59,google,retail,125743,40,JO,1.7192
10767.75,facebook,retail,246066,11,AE,2.6673
10333.04,facebook,services,269377,8,EG,2.0666
17165.69,google,fnb,165638,58,LB,2.1906
9309.71,google,fnb,219575,30,AE,3.3207
7763.28,google,ecommerce,236398,40,JO,2.4384
12827.31,google,retail,237518,15,AE,3.0934
5402.62,x,fnb,359123,8,JO,2.5589
2881.39,google,retail,290854,6,SA,2.4294
9609.76,tiktok,fnb,27646,23,AE,3.288
8396.1,x,fnb,4155,3,LB,2.1063
4728.14,instagram,retail,205937,26,SA,3.1218
7413.49,facebook,retail,453940,21,SA,2.3962
7391.21,google,ecommerce,19410,33,SA,3.3019
6617.16,instagram,retail,36472,36,LB,1.6944
7651.34,x,ecommerce,339951,20,AE,3.511
13746.29,tiktok,ecommerce,226011,28,LB,2.9679
6007.84,x,fnb,116085,7,AE,2.3905
18982.27,facebook,fnb,104479,20,JO,2.8242
18335.33,google,ecommerce,332838,58,LB,2.6313
9670.12,tiktok,ecommerce,262367,59,EG,3.2288
6634.39,tiktok,retail,319476,30,LB,2.5428
10755.15,instagram,ecommerce,140834,56,SA,3.1006
16986.35,x,ecommerce,263659,31,JO,2.5211
13086.49,instagram,retail,430143,10,AE,3.9325
16107.4,x,retail,158976,52,LB,1.6595
10701.17,tiktok,services,198783,26,SA,3.9878
12695.06,facebook,retail,82707,37,AE,2.9064
5834.3,x,services,319739,39,JO,1.7041
14724.37,facebook,retail,17223,20,JO,1.9613
4127.85,instagram,services,125190,44,EG,2.0403
13926.48,x,retail,356816,31,EG,1.7538
17228.31,x,retail,10683,23,EG,1.764
2728.85,x,retail,494555,19,EG,1.9518
12326.16,tiktok,retail,202673,45,SA,3.0649
1992.41,google,services,199952,17,JO,2.0024
14541.74,instagram,retail,268706,10,AE,3.3763
1781.42,google,ecommerce,319952,53,LB,2.2773
18725.2,tiktok,services,230314,21,EG,3.0569
2834.42,facebook,fnb,442240,39,EG,2.2091
19181.72,tiktok,ecommerce,481045,43,JO,2.714
16037.6,tiktok,services,100974,50,AE,3.7098
11914.27,instagram,services,353712,38,SA,2.9474
15674.22,instagram,retail,151155,43,SA,2.972
15922.79,tiktok,services,497839,50,AE,3.2249
18925.94,facebook,services,127404,56,EG,1.7701
5142.33,facebook,ecommerce,148234,5,SA,3.4641
11842.51,google,fnb,357405,45,EG,3.0059
1991.48,instagram,services,394737,12,SA,2.8469
12361.7,google,fnb,65163,53,AE,2.8863
3508.7,tiktok,retail,278223,5,JO,2.5046
11342.52,tiktok,retail,173490,17,SA,3.4843
11491.37,tiktok,ecommerce,306268,13,EG,3.3035
9373.1,tiktok,services,278808,37,SA,3.2896
10500.37,x,fnb,492940,3,AE,2.6895
15302.08,x,services,466899,3,JO,1.9001
16004.97,instagram,retail,327339,31,AE,3.5349
9893.85,google,retail,340028,58,JO,2.2089
12031.91,x,services,449509,33,SA,2.253
18631.6,facebook,services,92561,28,LB,2.0329
2482.7,google,ecommerce,363149,40,LB,2.0307
2430.36,tiktok,ecommerce,386266,34,JO,2.617
1845.41,x,fnb,64565,24,SA,2.0942
13191.48,tiktok,ecommerce,440773,36,AE,3.846
8430.31,x,fnb,350012,3,JO,2.2388
15509.0,facebook,ecommerce,174219,16,EG,2.3977
13457.51,facebook,retail,242673,41,EG,1.9608
6739.39,x,retail,245309,22,EG,2.2648
17977.49,tiktok,retail,459480,6,LB,2.4409
15274.39,tiktok,ecommerce,484652,10,LB,3.0929
5483.65,facebook,retail,403610,52,EG,1.712
7347.42,instagram,ecommerce,326452,21,LB,3.0746
6357.36,x,services,52963,4,EG,1.7475
3236.47,instagram,retail,457497,44,LB,2.1974
3040.89,tiktok,ecommerce,67823,33,AE,3.7605
18728.94,instagram,retail,84237,28,EG,2.5284
8814.29,instagram,retail,35735,54,EG,1.8714
7728.06,facebook,services,473926,20,EG,1.9732
14620.75,x,fnb,247129,35,EG,2.5312
11104.56,x,fnb,118748,45,LB,1.9265
18729.19,facebook,retail,41305,37,JO,1.7525
15628.0,instagram,services,206584,14,AE,3.2359
9639.45,tiktok,retail,362115,41,LB,2.312
7589.55,instagram,retail,497285,45,JO,1.9764
19733.97,google,services,276626,9,LB,2.2147
14383.43,instagram,fnb,303959,12,SA,3.4352
19028.77,facebook,services,418106,41,SA,2.3955
2457.72,instagram,retail,451013,9,EG,1.8922
17025.62,tiktok,services,140618,53,LB,1.7375
12777.77,facebook,ecommerce,495955,9,LB,2.3758
2526.24,x,fnb,260051,58,SA,2.1255
11806.33,facebook,fnb,465139,41,SA,2.7094
13753.32,facebook,services,59622,28,EG,2.1301
344.82,tiktok,services,49616,18,EG,1.9286
9140.93,tiktok,retail,442420,22,LB,2.7973
16525.45,instagram,services,336611,45,JO,2.2158
5977.64,instagram,retail,88327,45,SA,2.403
9225.11,facebook,services,447565,14,JO,2.0793
8902.05,google,ecommerce,52078,33,JO,2.0724
6108.36,instagram,services,341466,59,LB,1.9726
18376.99,facebook,ecommerce,103320,17,SA,2.9692
15647.75,instagram,fnb,36228,42,SA,3.3797
2300.71,x,ecommerce,403309,12,SA,2.5934
19940.99,instagram,ecommerce,423852,50,AE,4.4477
17596.08,x,ecommerce,53801,12,SA,2.4452
5749.78,instagram,services,47472,19,SA,2.4412
16754.24,facebook,services,307599,29,LB,2.0809
2217.75,instagram,services,15326,24,AE,2.7445
19982.18,instagram,ecommerce,373344,12,LB,3.5471
13347.13,facebook,ecommerce,457914,39,JO,2.5685
13037.49,tiktok,fnb,375789,4,EG,3.7266
1899.77,instagram,retail,116113,59,AE,2.3238
17950.96,google,retail,95840,5,AE,3.4113
677.09,tiktok,retail,340619,22,LB,1.8982
4892.48,tiktok,retail,31750,56,AE,2.7776
2946.14,tiktok,retail,269312,11,JO,1.6926
15557.68,facebook,retail,224954,7,LB,1.7236
4044.26,google,ecommerce,372552,45,LB,2.4488
18221.7,facebook,retail,102040,7,JO,1.71
13159.75,google,services,381400,54,SA,2.8446
819.64,x,fnb,349936,28,LB,1.854
208.05,google,retail,120118,52,SA,1.9535
1127.99,tiktok,services,178989,16,EG,1.9395
12157.91,instagram,ecommerce,33941,11,AE,3.3297
16049.49,x,ecommerce,225227,57,AE,2.4975
4847.2,instagram,ecommerce,131039,46,EG,2.5224
17003.24,tiktok,services,57628,54,SA,2.8353
1238.92,google,services,280396,21,JO,1.864
16039.18,x,retail,284207,26,AE,3.2827
18563.13,x,ecommerce,43886,35,AE,2.6103
15464.96,facebook,services,93576,28,LB,2.1534
13992.6,x,fnb,42217,16,EG,1.783
16775.81,facebook,fnb,339813,24,SA,3.3151
899.01,tiktok,services,169677,37,AE,3.0628
4115.46,x,retail,36513,5,EG,1.7988
2585.98,google,ecommerce,96577,22,AE,3.1163
10140.17,x,fnb,487971,19,LB,2.2336
14929.24,instagram,retail,128621,7,SA,3.218
12637.24,instagram,fnb,342578,9,SA,3.3268
17037.51,instagram,ecommerce,234750,31,SA,4.2119
3188.74,instagram,fnb,91683,8,SA,3.5673
14718.96,google,services,154385,22,JO,2.3821
3941.53,tiktok,ecommerce,8033,34,AE,3.4492
5488.1,google,retail,373746,52,AE,2.9976
14227.1,tiktok,ecommerce,167896,8,SA,3.3499
19606.08,instagram,fnb,250122,27,LB,2.8209
12269.72,facebook,services,77253,8,LB,1.5316
1184.56,tiktok,retail,412281,27,SA,2.8197
12364.55,x,retail,109987,30,SA,3.0055
942.78,x,ecommerce,283575,48,EG,1.7937
17694.5,instagram,ecommerce,436502,28,LB,2.7136
14220.61,tiktok,ecommerce,356885,56,JO,3.3378
3545.24,google,services,301999,10,SA,2.3349
1925.25,google,fnb,444131,6,LB,1.9982
3752.31,facebook,retail,89052,3,AE,2.7283
19602.54,tiktok,fnb,481812,23,AE,4.461
9225.36,facebook,services,278773,13,SA,2.1226
15703.21,facebook,fnb,205518,8,SA,3.2397
12764.53,google,fnb,128634,16,SA,3.1448
11491.02,facebook,retail,372717,58,SA,2.9729
2988.09,instagram,fnb,488124,48,JO,2.1299
18925.89,tiktok,retail,345366,4,JO,3.0488
6096.72,google,retail,17345,55,SA,2.6926
11602.54,tiktok,retail,235074,14,JO,2.3764
14025.54,facebook,services,366426,26,JO,2.068
13019.74,google,fnb,199320,21,JO,2.7577
18817.83,x,retail,386725,26,AE,2.5322
3053.94,x,services,353937,46,SA,2.0908
10216.22,google,retail,34514,43,AE,2.5657
8140.28,tiktok,retail,279425,36,LB,2.3081
9535.96,x,retail,86762,38,LB,1.6111
2472.43,tiktok,fnb,243772,44,EG,2.5504
2768.48,facebook,ecommerce,192769,13,SA,2.9812
5633.7,x,retail,403642,25,JO,1.7409
6163.62,instagram,fnb,434209,9,EG,2.536
8615.27,x,retail,231272,43,LB,1.6265
12258.65,instagram,fnb,268962,27,JO,2.7096
12729.12,x,services,313419,39,SA,2.2097
8295.04,tiktok,fnb,327998,35,SA,3.8335
8234.78,tiktok,services,318048,18,JO,1.978
4430.81,instagram,ecommerce,391723,10,EG,2.6262
11807.29,x,ecommerce,491007,58,LB,1.9215
6409.11,facebook,services,414233,19,LB,1.7177
817.59,tiktok,services,68222,9,SA,2.9518
8426.16,instagram,ecommerce,238665,20,LB,2.7694
9535.24,tiktok,ecommerce,231184,54,LB,2.6959
4589.3,instagram,fnb,254887,17,EG,2.4998
11491.91,google,retail,264702,59,LB,1.9337
11358.86,instagram,retail,359284,29,LB,2.0099
14069.84,facebook,ecommerce,211086,52,SA,2.9804
12994.17,facebook,services,132407,40,LB,1.5671
13083.42,google,fnb,229337,5,AE,3.2919
6392.66,instagram,fnb,427390,32,JO,1.7995
15769.9,instagram,fnb,156404,26,EG,2.4602
11027.97,google,ecommerce,11372,14,JO,2.7633
8685.22,instagram,services,488168,34,AE,3.4622
12557.65,instagram,ecommerce,98690,8,EG,3.3167
7277.08,instagram,fnb,301819,42,AE,3.9327
10303.51,instagram,fnb,400299,49,AE,3.7002
14760.44,google,retail,137958,8,LB,2.0101
17739.42,tiktok,ecommerce,170788,30,JO,2.803
18429.04,x,services,140966,40,LB,1.869
10122.3,google,services,75766,6,AE,2.7217
10453.47,facebook,fnb,77320,25,SA,3.7327
16017.42,instagram,fnb,94190,17,SA,3.3146
6357.57,instagram,ecommerce,229566,5,AE,4.5194
16763.91,tiktok,fnb,265847,48,AE,3.7284
9933.42,instagram,services,8977,28,AE,3.0341
2405.55,x,retail,423244,45,JO,1.9443
1533.98,instagram,fnb,338279,36,SA,2.6055
16855.66,tiktok,ecommerce,36254,52,JO,2.4866
1205.8,facebook,retail,421516,59,JO,1.4077
5684.17,x,retail,16209,37,EG,1.3296
6749.19,x,ecommerce,280703,23,JO,2.4339
3542.59,google,fnb,233118,27,LB,2.155
6346.48,instagram,fnb,251567,50,JO,2.3391
14879.58,facebook,services,478137,27,SA,3.0222
392.19,google,retail,463604,32,EG,1.5566
16560.75,tiktok,retail,140225,14,AE,4.1742
17145.31,x,retail,290251,59,LB,1.5798
7508.01,google,retail,479626,40,JO,2.3704
3156.9,tiktok,retail,364699,21,SA,3.5501
12056.72,x,services,443952,36,LB,2.0137
2481.48,x,fnb,217976,25,EG,1.9355
7361.9,tiktok,retail,142284,11,LB,1.7218
19172.74,facebook,retail,255817,52,SA,2.651
19909.74,facebook,fnb,408657,53,EG,2.4377
15464.89,tiktok,ecommerce,464478,50,EG,2.8434
6288.13,tiktok,fnb,343247,24,SA,3.8505
13784.53,facebook,retail,353556,17,AE,2.9188
14137.59,facebook,retail,256399,5,JO,1.7484
7818.05,google,fnb,160482,44,LB,2.3147
12853.68,google,retail,212035,21,LB,2.1214
313.48,facebook,ecommerce,249355,53,LB,1.6325
4260.25,tiktok,ecommerce,407935,52,JO,2.5705
10549.26,facebook,fnb,278119,10,SA,3.4685
3358.65,google,ecommerce,396746,55,LB,2.1814
3401.55,x,fnb,14653,10,LB,1.5203
16742.46,x,retail,378711,30,LB,1.8005
19783.75,tiktok,ecommerce,254026,30,JO,3.4943
11163.79,google,ecommerce,499129,57,SA,3.9253
16797.49,x,fnb,236389,40,LB,2.0998
19807.4,google,services,239777,52,AE,3.0936
2917.76,tiktok,retail,64608,36,EG,2.384
9020.09,google,services,403654,50,SA,2.2347
7912.2,tiktok,services,351061,51,JO,2.0207
1692.98,x,services,431376,52,LB,1.342
15131.07,tiktok,services,47281,26,LB,2.0346
8732.2,x,services,106589,24,LB,1.4141
9439.61,facebook,services,438611,59,AE,1.9
3098.39,facebook,ecommerce,21991,46,EG,1.6202
3700.44,facebook,retail,254594,55,EG,1.7544
18151.36,tiktok,fnb,202969,35,AE,3.949
988.52,google,fnb,469773,55,EG,1.8775
4733.76,instagram,services,428511,44,EG,2.2086
5911.98,facebook,retail,448460,45,LB,1.7373
