budget,platform,content_type,audience_size,posting_hour,sentiment_score,holiday_flag,region,engagement_rate,roi
101.54,instagram,carousel,3702,17,0.002,1,UAE,0.0856,8.403
253.33,instagram,carousel,15084,13,0.41,1,Saudi Arabia,0.0584,4.764
746.68,facebook,story,17311,15,0.324,0,Egypt,0.0229,1.234
232.14,instagram,video,1799,16,-0.245,0,Saudi Arabia,0.054,3.357
94.83,instagram,video,2753,14,-0.162,0,Egypt,0.0635,2.367
736.35,facebook,story,3657,20,0.304,0,Jordan,0.0218,1.027
1108.52,instagram,image,5469,23,0.993,0,UAE,0.0735,5.68
387.42,facebook,reel,1811,14,0.503,1,Saudi Arabia,0.0351,1.909
69.08,facebook,reel,1695,19,-0.304,1,Lebanon,0.0379,1.715
761.56,tiktok,image,3281,14,-0.789,1,Egypt,0.0797,2.269
90.57,tiktok,video,8909,17,0.557,0,Saudi Arabia,0.1149,7.649
532.68,instagram,image,2211,15,0.266,0,UAE,0.0501,3.367
181.5,tiktok,image,7133,20,0.699,1,Lebanon,0.1028,6.499
142.05,tiktok,video,25962,15,-0.008,0,Egypt,0.0867,3.792
271.04,facebook,image,1935,22,0.423,0,UAE,0.0311,2.484
342.08,instagram,reel,6456,17,0.596,1,Egypt,0.0782,4.19
225.93,tiktok,story,25015,15,0.143,0,Lebanon,0.0514,1.443
685.28,instagram,reel,5114,13,0.151,1,Jordan,0.1003,7.332
270.03,instagram,image,4311,19,0.309,0,Lebanon,0.0565,2.44
974.74,instagram,image,29139,22,0.49,1,UAE,0.0825,6.254
519.6,tiktok,image,5785,19,0.295,0,Egypt,0.0767,2.64
215.34,facebook,image,27308,23,0.641,0,Jordan,0.0235,1.111
185.06,tiktok,story,12989,23,0.138,1,UAE,0.0669,7.062
91.58,tiktok,video,5557,17,-0.165,0,Saudi Arabia,0.096,7.33
524.09,facebook,image,13734,17,0.992,0,Egypt,0.0182,0.95
293.2,facebook,reel,11527,20,0.088,0,Egypt,0.0327,1.152
50.0,instagram,video,24908,15,0.101,0,UAE,0.0614,4.882
249.1,instagram,image,4432,23,0.277,1,Saudi Arabia,0.058,4.454
179.3,facebook,image,8478,19,0.324,0,Egypt,0.0206,0.802
1665.88,facebook,carousel,7572,19,0.165,0,Egypt,0.0203,0.734
87.14,facebook,reel,17580,21,0.294,0,Egypt,0.0348,1.318
110.25,tiktok,image,2623,23,0.286,1,Saudi Arabia,0.0787,6.702
1095.51,facebook,story,24801,19,0.361,1,Lebanon,0.0241,1.266
1367.98,facebook,reel,13534,18,-0.525,1,Jordan,0.0364,1.509
206.34,facebook,reel,1903,23,0.958,0,Egypt,0.0511,2.14
228.41,instagram,image,30610,22,0.248,0,Egypt,0.0333,1.533
702.48,instagram,image,94608,17,0.503,0,Lebanon,0.0435,1.512
50.0,facebook,reel,24392,18,-0.182,0,UAE,0.0273,1.435
75.56,instagram,video,38936,19,0.135,0,Egypt,0.0587,2.066
313.36,facebook,carousel,8900,19,0.065,0,Lebanon,0.0173,0.513
1627.66,tiktok,reel,1302,13,0.814,0,Jordan,0.1513,9.458
272.56,instagram,image,1065,12,0.095,0,UAE,0.045,2.073
441.79,instagram,reel,10727,14,0.565,0,Egypt,0.1002,3.449
1119.25,instagram,story,4225,14,0.072,0,Egypt,0.0361,1.565
2687.04,instagram,reel,2963,15,0.142,0,UAE,0.0826,3.794
240.05,facebook,video,7562,21,0.214,1,UAE,0.0266,1.951
397.36,facebook,reel,15948,17,0.749,0,Saudi Arabia,0.0293,1.559
2079.43,tiktok,carousel,1639,19,-0.361,1,Saudi Arabia,0.1039,6.369
102.52,facebook,reel,4945,13,-0.16,0,UAE,0.0304,2.163
1017.21,facebook,reel,42653,16,-0.382,0,Saudi Arabia,0.0185,0.958
161.34,tiktok,reel,2482,20,-0.081,0,Jordan,0.1081,5.188
442.4,instagram,image,21093,20,0.016,0,Saudi Arabia,0.0323,1.802
324.29,instagram,image,4754,15,-0.265,0,UAE,0.0379,1.704
170.34,instagram,image,14770,19,0.043,0,UAE,0.0507,2.484
166.54,tiktok,video,27093,23,-0.405,1,UAE,0.0859,6.922
517.38,facebook,video,18313,18,-0.056,1,Lebanon,0.0288,1.536
988.3,instagram,carousel,22028,15,0.72,0,Lebanon,0.049,1.911
358.97,facebook,video,2283,17,0.441,0,Egypt,0.0286,1.172
429.71,instagram,reel,27584,18,0.366,0,UAE,0.0925,5.572
674.56,tiktok,story,3171,17,-0.051,0,Jordan,0.0638,1.782
168.27,facebook,image,10780,18,-0.238,0,UAE,0.0144,0.824
785.03,facebook,reel,10765,12,-0.099,0,Lebanon,0.0234,0.748
843.37,instagram,carousel,13816,14,0.285,0,Egypt,0.0379,1.05
4201.78,facebook,carousel,11738,17,0.604,0,Egypt,0.0225,0.522
287.58,instagram,image,3202,17,0.616,1,UAE,0.0845,4.492
267.13,instagram,reel,1835,16,0.521,1,UAE,0.0939,7.244
805.99,instagram,story,21153,17,0.042,0,UAE,0.0492,2.671
843.19,twitter,reel,9940,18,0.309,1,Saudi Arabia,0.0281,1.546
249.24,twitter,story,28690,22,0.188,0,Saudi Arabia,0.0126,0.891
280.66,tiktok,story,7714,18,0.23,0,UAE,0.0763,4.79
656.56,instagram,video,1727,20,1.0,1,Lebanon,0.0548,3.959
191.55,twitter,carousel,23452,16,-0.317,1,Saudi Arabia,0.0175,1.008
278.81,tiktok,video,5391,20,0.218,1,Jordan,0.1304,5.753
437.31,tiktok,story,11804,20,0.724,0,Saudi Arabia,0.1009,7.291
988.65,facebook,image,3975,21,-0.213,1,Saudi Arabia,0.0258,1.002
234.13,instagram,video,49450,21,0.075,0,Lebanon,0.0455,2.14
76.85,instagram,reel,3089,20,0.115,0,UAE,0.0848,4.351
71.88,twitter,image,5590,18,0.222,0,UAE,0.0155,1.336
129.87,facebook,reel,9119,19,-0.259,0,Egypt,0.0213,0.647
123.74,instagram,video,2437,22,0.508,0,Egypt,0.0764,4.32
351.02,instagram,story,11655,15,0.533,0,Jordan,0.0422,1.527
138.38,facebook,reel,47719,15,0.478,1,Jordan,0.0474,2.487
214.33,instagram,video,4724,19,-0.005,0,Jordan,0.0645,3.022
201.0,tiktok,reel,12514,20,0.33,0,Jordan,0.1234,7.774
271.39,tiktok,video,500,15,-0.015,0,Lebanon,0.1228,6.888
1326.44,tiktok,carousel,7763,18,0.184,0,Lebanon,0.1089,4.248
731.98,facebook,carousel,5742,18,1.0,0,UAE,0.0365,4.093
409.33,facebook,reel,3293,9,0.333,0,Saudi Arabia,0.0346,1.99
266.42,facebook,image,26624,17,-0.116,0,Lebanon,0.0198,0.96
273.17,facebook,image,5659,17,0.363,0,Egypt,0.0233,0.717
541.84,instagram,reel,6665,17,-0.173,0,Saudi Arabia,0.073,4.034
682.49,facebook,carousel,5351,23,-0.12,1,Saudi Arabia,0.0251,0.629
178.24,instagram,video,983,13,-0.064,0,Lebanon,0.059,1.696
416.89,facebook,image,2332,15,0.144,0,UAE,0.0277,1.862
64.82,instagram,video,23323,8,0.628,0,Lebanon,0.0734,2.723
488.11,instagram,reel,795,16,0.502,0,Egypt,0.0819,3.679
801.06,instagram,image,3487,16,0.483,0,Saudi Arabia,0.0491,3.765
313.54,facebook,video,5220,16,-0.085,0,Egypt,0.0324,0.953
2069.11,instagram,story,55159,22,0.111,0,UAE,0.0412,1.679
182.52,twitter,image,18872,21,0.395,0,UAE,0.0174,1.069
490.63,facebook,reel,4390,18,0.08,0,UAE,0.0283,1.248
390.63,instagram,image,34028,17,0.203,0,Egypt,0.0478,1.728
368.61,facebook,reel,3588,22,0.454,0,Egypt,0.034,1.419
363.98,instagram,reel,24587,18,0.178,0,UAE,0.058,3.296
444.25,twitter,reel,1817,15,0.379,0,Jordan,0.0258,1.72
865.37,facebook,image,26385,11,0.857,1,Lebanon,0.0283,1.381
1394.04,tiktok,carousel,5183,16,0.24,0,Egypt,0.0867,4.052
402.61,instagram,reel,2614,21,0.713,0,Lebanon,0.099,3.651
840.32,facebook,image,6381,23,0.496,0,UAE,0.0285,1.892
214.52,facebook,image,10993,18,-0.214,0,Egypt,0.0209,0.885
803.81,twitter,image,4702,15,-0.086,0,Lebanon,0.0134,0.616
203.2,facebook,story,14903,13,0.008,0,UAE,0.0175,0.939
1076.63,facebook,reel,4267,20,0.001,0,Saudi Arabia,0.0295,1.728
2950.05,instagram,carousel,16033,11,0.268,0,UAE,0.038,2.345
361.45,instagram,reel,13179,20,0.515,0,Egypt,0.0851,3.061
56.08,facebook,carousel,7577,21,0.739,0,Egypt,0.0299,1.76
246.35,facebook,video,4986,20,0.408,0,Egypt,0.046,2.775
1222.54,instagram,video,9572,17,0.144,0,UAE,0.0787,4.946
663.66,tiktok,carousel,14842,20,-0.429,0,Saudi Arabia,0.0774,3.881
504.73,tiktok,image,78274,19,0.325,0,UAE,0.0801,5.943
1000.05,instagram,reel,22773,15,0.309,1,UAE,0.0834,3.842
623.91,facebook,reel,23708,23,0.364,0,Lebanon,0.025,1.204
1207.07,instagram,video,242162,17,1.0,0,Jordan,0.0502,2.008
922.86,facebook,carousel,14293,21,0.734,0,Egypt,0.024,0.859
1586.89,instagram,image,13809,8,0.575,0,Egypt,0.0418,2.486
557.2,facebook,story,17578,23,-0.037,0,Saudi Arabia,0.0097,0.48
911.17,tiktok,story,2670,23,0.12,0,Saudi Arabia,0.0599,2.659
306.0,tiktok,story,4972,18,0.267,0,Saudi Arabia,0.0673,5.353
234.79,instagram,video,4643,20,0.029,0,Saudi Arabia,0.0591,2.591
1874.49,twitter,image,16520,20,0.475,1,Saudi Arabia,0.0181,1.141
490.09,instagram,image,6690,15,0.425,1,Lebanon,0.0571,4.029
832.47,instagram,image,9433,20,-0.081,0,Lebanon,0.0557,2.017
450.95,facebook,image,26801,15,0.719,0,Jordan,0.0264,0.845
237.97,instagram,image,20941,16,0.336,0,Saudi Arabia,0.0429,3.137
407.44,tiktok,story,6782,23,-0.305,1,Jordan,0.0638,2.486
1469.08,tiktok,image,3877,22,0.282,1,Lebanon,0.099,6.544
664.95,instagram,image,28248,15,0.398,0,Saudi Arabia,0.0411,2.143
86.46,twitter,reel,18982,15,0.64,0,UAE,0.0218,2.196
332.38,instagram,carousel,1384,15,0.182,0,UAE,0.0666,5.962
2006.33,facebook,reel,5741,21,0.59,1,Lebanon,0.0393,1.61
332.81,instagram,carousel,9721,14,0.365,0,Lebanon,0.0445,1.907
79.8,twitter,reel,19086,19,-0.16,0,Jordan,0.0193,0.912
2216.63,instagram,carousel,22050,21,-0.195,0,UAE,0.0459,1.705
745.57,instagram,carousel,11073,18,0.693,0,Saudi Arabia,0.0414,2.971
378.79,facebook,reel,15425,22,0.719,0,Saudi Arabia,0.0351,2.346
288.8,twitter,video,8695,17,0.413,0,UAE,0.0266,1.697
1068.61,tiktok,video,3861,17,0.823,0,Saudi Arabia,0.1458,10.094
247.7,tiktok,video,6079,14,0.67,0,UAE,0.1709,13.002
1133.91,tiktok,image,8274,22,0.539,0,Jordan,0.108,5.255
657.19,tiktok,reel,7799,15,-0.019,0,Egypt,0.1302,3.643
502.81,facebook,image,1018,19,0.906,1,Egypt,0.0519,2.465
459.88,instagram,image,5233,18,0.488,0,Saudi Arabia,0.0609,3.835
344.65,tiktok,image,8619,14,0.165,0,Lebanon,0.0772,3.19
1033.88,facebook,reel,5946,16,0.066,0,Jordan,0.0342,1.208
185.15,instagram,video,6176,23,0.39,0,UAE,0.061,4.584
93.72,instagram,carousel,13860,19,-0.285,0,Lebanon,0.0451,0.937
701.34,tiktok,reel,2472,14,0.545,0,UAE,0.1147,6.285
712.03,instagram,image,1351,19,-0.034,0,Egypt,0.0497,1.504
621.55,twitter,reel,5524,17,0.43,0,Saudi Arabia,0.0223,1.094
582.28,instagram,video,18779,23,0.117,0,Egypt,0.0517,2.545
302.33,instagram,image,51860,19,0.207,0,Egypt,0.0481,1.826
819.53,tiktok,carousel,19155,16,0.035,0,UAE,0.08,4.616
387.22,instagram,story,1611,23,0.244,0,Jordan,0.0277,1.101
260.24,instagram,image,6275,11,0.961,0,Saudi Arabia,0.0405,3.15
304.69,facebook,carousel,10746,18,0.785,0,Saudi Arabia,0.0233,1.189
2486.36,tiktok,image,9851,23,0.424,0,Lebanon,0.07,2.715
84.65,instagram,carousel,14665,18,0.291,0,Jordan,0.0597,2.337
632.58,instagram,carousel,2954,11,0.595,1,UAE,0.0723,5.538
89.01,tiktok,carousel,8703,16,0.695,0,Lebanon,0.1268,2.514
365.98,twitter,carousel,12866,23,0.01,0,Saudi Arabia,0.0185,0.735
273.07,facebook,image,20095,20,0.273,0,Lebanon,0.0251,1.514
61.77,instagram,carousel,3339,15,-0.338,0,Lebanon,0.049,2.266
572.57,instagram,carousel,5543,15,0.693,1,Saudi Arabia,0.0797,8.695
286.57,instagram,carousel,500,16,1.0,0,UAE,0.0923,10.159
60.99,instagram,image,4090,19,0.328,1,Jordan,0.0717,5.336
858.86,facebook,video,4551,23,-0.444,0,UAE,0.0231,0.915
1467.78,instagram,video,2639,22,0.513,0,Egypt,0.0905,2.548
1542.43,facebook,image,9722,20,-0.016,1,Saudi Arabia,0.0134,1.034
557.28,tiktok,image,7619,13,0.068,0,Saudi Arabia,0.0674,3.772
420.5,facebook,video,675,13,0.519,0,Saudi Arabia,0.0309,3.309
1333.2,instagram,reel,10270,20,0.389,0,Saudi Arabia,0.0886,4.722
1833.8,tiktok,image,2918,13,0.129,1,Jordan,0.116,8.162
1119.02,tiktok,reel,13825,17,0.073,0,UAE,0.0792,4.186
172.88,tiktok,carousel,1978,19,0.344,0,Lebanon,0.127,7.92
483.58,instagram,reel,8375,13,0.157,1,Saudi Arabia,0.0605,5.947
599.18,instagram,video,5934,14,-0.088,0,Egypt,0.0443,1.061
79.15,twitter,video,11309,18,0.184,0,Lebanon,0.0202,0.828
615.49,facebook,carousel,9294,20,0.419,0,Saudi Arabia,0.0247,1.14
3120.33,instagram,story,6120,22,0.238,0,Egypt,0.0295,0.675
717.62,facebook,video,1495,20,-0.195,1,Egypt,0.0347,1.477
1519.4,facebook,carousel,1595,18,0.646,0,Jordan,0.0337,1.523
475.62,twitter,carousel,4262,15,-0.659,0,Saudi Arabia,0.0148,0.598
377.7,instagram,reel,8029,14,0.144,0,Saudi Arabia,0.0599,3.969
568.58,twitter,image,4150,16,0.083,0,UAE,0.0152,0.469
193.59,instagram,video,16118,20,0.352,1,Jordan,0.0792,6.186
169.46,facebook,video,5960,19,0.497,0,UAE,0.0419,2.774
1261.02,facebook,story,2803,10,0.694,0,Egypt,0.0093,0.429
1387.29,instagram,video,5967,15,0.051,0,UAE,0.0496,3.084
165.34,instagram,video,10388,23,0.505,0,Saudi Arabia,0.0693,6.509
964.1,facebook,story,11583,18,0.369,0,Egypt,0.0152,0.55
373.06,twitter,video,63973,12,-0.299,0,Saudi Arabia,0.0142,0.323
547.75,facebook,image,3882,23,0.965,0,Jordan,0.0266,1.506
610.45,twitter,image,7473,18,-0.204,1,UAE,0.0143,0.919
987.24,tiktok,image,12948,20,0.447,0,Saudi Arabia,0.0863,3.9
434.61,facebook,image,7896,20,0.436,0,UAE,0.0257,1.777
1435.32,tiktok,video,4671,17,0.396,0,UAE,0.1118,6.201
532.97,instagram,reel,1474,15,0.127,0,Saudi Arabia,0.0638,2.395
707.52,instagram,reel,4619,23,0.59,0,Lebanon,0.0763,4.12
190.58,tiktok,image,2487,22,-0.246,0,Lebanon,0.0681,2.153
2815.21,tiktok,carousel,1212,21,0.277,0,Saudi Arabia,0.0686,3.323
615.75,instagram,image,3377,20,0.103,1,Saudi Arabia,0.0616,3.626
766.39,facebook,story,2561,14,0.063,1,Saudi Arabia,0.0188,1.59
94.88,facebook,image,15400,23,0.45,1,Lebanon,0.0325,1.954
192.4,tiktok,carousel,15696,15,0.677,0,UAE,0.1132,8.799
1229.17,facebook,video,2998,19,0.18,1,UAE,0.0428,2.603
522.28,facebook,carousel,6086,11,0.573,0,Egypt,0.0204,0.942
72.07,instagram,video,1049,10,0.317,0,Egypt,0.0579,3.37
1027.07,facebook,reel,4704,19,-0.012,0,UAE,0.0225,1.398
247.3,facebook,image,12567,15,0.21,0,Saudi Arabia,0.0178,1.28
1436.82,tiktok,story,20079,10,0.195,0,Lebanon,0.0689,3.061
372.76,facebook,video,3698,20,0.056,0,UAE,0.0353,1.356
485.04,instagram,reel,25771,23,0.45,0,Lebanon,0.056,1.978
1165.68,instagram,reel,1529,23,0.382,0,UAE,0.0699,4.076
179.87,tiktok,story,2054,17,-0.257,1,Saudi Arabia,0.0693,3.533
165.08,tiktok,image,17687,18,-0.278,0,Jordan,0.0703,2.002
338.04,instagram,image,50931,22,0.449,0,UAE,0.0328,1.188
849.34,instagram,image,13943,22,0.015,0,Saudi Arabia,0.0306,1.066
121.78,facebook,image,7751,17,0.406,1,Egypt,0.0297,1.441
89.91,instagram,carousel,724,18,0.573,0,Jordan,0.044,2.423
846.7,tiktok,story,875,19,-0.145,0,Saudi Arabia,0.0586,2.311
234.47,instagram,story,9342,20,-0.194,0,UAE,0.0355,1.976
283.44,instagram,carousel,5465,17,0.886,0,Saudi Arabia,0.0746,5.051
75.86,twitter,carousel,2400,18,0.423,0,UAE,0.0201,1.918
218.97,instagram,reel,8708,23,0.153,0,Jordan,0.0617,2.689
400.69,instagram,story,9197,23,-0.027,0,UAE,0.0415,2.751
932.01,instagram,image,22899,20,0.121,0,Egypt,0.0469,1.676
201.52,instagram,carousel,9416,23,-0.117,0,Lebanon,0.0414,1.042
1792.99,instagram,reel,31295,16,0.609,0,UAE,0.0753,4.753
217.87,instagram,video,8174,23,0.028,0,Egypt,0.0628,1.566
218.16,instagram,video,7137,20,0.683,0,Saudi Arabia,0.0998,7.057
1609.41,instagram,story,26127,23,0.16,0,Saudi Arabia,0.0426,1.851
488.0,facebook,story,2762,13,-0.065,0,Jordan,0.0193,0.835
245.47,tiktok,story,179134,15,0.151,0,Egypt,0.0512,1.277
350.86,facebook,reel,12243,20,-0.618,0,UAE,0.0191,0.831
1363.44,instagram,image,12319,20,0.258,0,Saudi Arabia,0.046,2.94
1509.57,facebook,video,14437,23,0.24,0,Saudi Arabia,0.027,1.829
193.42,tiktok,carousel,63885,15,0.589,0,Saudi Arabia,0.0773,4.447
388.31,tiktok,carousel,19375,22,-0.36,0,UAE,0.085,4.18
437.53,instagram,video,1386,23,0.707,0,UAE,0.0917,6.982
166.07,instagram,carousel,37942,21,0.587,0,Jordan,0.0557,4.162
383.71,instagram,video,5569,14,0.738,0,Jordan,0.0836,2.81
405.37,instagram,reel,9116,23,0.282,0,Egypt,0.0719,2.114
1125.73,facebook,video,1983,23,0.655,0,Jordan,0.0386,3.188
1195.93,facebook,video,14455,20,-0.215,0,Egypt,0.018,0.49
299.98,instagram,image,3957,19,0.55,0,Egypt,0.0539,1.21
332.77,instagram,image,9046,19,0.03,0,Egypt,0.0441,1.322
733.53,facebook,reel,5928,18,-0.278,0,Saudi Arabia,0.0284,0.409
238.25,instagram,video,67340,21,-0.093,1,Saudi Arabia,0.0562,3.906
685.24,tiktok,image,71717,18,0.302,1,UAE,0.0503,4.484
372.74,instagram,reel,8528,15,0.011,0,Saudi Arabia,0.0504,2.152
168.6,twitter,carousel,8693,14,0.432,0,UAE,0.0188,1.178
170.52,instagram,image,5373,15,-0.333,0,UAE,0.0383,2.472
1483.79,tiktok,video,27353,19,-0.444,0,Saudi Arabia,0.1021,2.382
350.45,twitter,image,5643,18,0.78,0,UAE,0.0216,1.093
1765.73,twitter,carousel,5097,19,0.616,0,UAE,0.0218,1.332
254.1,tiktok,image,23776,20,-0.067,0,Egypt,0.0685,1.911
524.31,tiktok,image,4482,15,0.299,1,Egypt,0.1179,4.938
3475.21,facebook,image,7773,23,0.657,0,Lebanon,0.0216,0.634
155.77,tiktok,carousel,1423,17,0.447,0,Lebanon,0.1027,5.28
73.11,instagram,image,17581,16,0.352,0,UAE,0.0389,2.747
1284.25,facebook,reel,68524,20,0.683,0,Egypt,0.0421,1.938
191.69,facebook,image,17914,11,0.044,0,Egypt,0.0185,0.712
395.98,tiktok,carousel,40456,15,0.311,1,Lebanon,0.0916,5.048
238.1,facebook,video,3194,22,0.294,0,Egypt,0.0295,0.746
513.55,facebook,video,10508,11,0.205,0,Lebanon,0.0276,1.281
171.49,facebook,image,2871,22,0.164,0,UAE,0.0204,1.206
343.11,instagram,reel,6307,23,0.326,1,Jordan,0.0771,4.161
604.76,instagram,reel,18947,17,0.312,1,UAE,0.0736,6.966
162.8,facebook,image,9063,19,-0.067,0,Lebanon,0.0202,0.665
214.85,facebook,image,1713,22,0.581,0,UAE,0.0235,2.306
295.11,instagram,story,1907,16,-0.042,0,Saudi Arabia,0.0351,2.627
111.5,instagram,carousel,1773,21,0.224,1,Jordan,0.0529,3.689
275.81,instagram,image,13913,15,0.197,1,Jordan,0.0554,2.281
448.95,instagram,image,78455,16,0.425,1,Lebanon,0.0544,1.334
281.58,instagram,carousel,36268,15,-0.442,0,Lebanon,0.0363,1.508
316.01,tiktok,reel,1006,19,0.612,0,Egypt,0.148,6.588
396.27,instagram,carousel,38684,23,0.063,0,UAE,0.0544,2.592
223.59,twitter,story,22698,17,0.727,0,Egypt,0.0174,1.035
751.41,twitter,video,1480,13,0.133,0,Saudi Arabia,0.0229,0.995
1469.06,facebook,video,5805,14,0.283,0,Lebanon,0.0274,0.975
265.62,instagram,video,27040,20,0.97,0,Egypt,0.0712,3.935
624.33,facebook,video,14845,23,0.203,1,Lebanon,0.0266,0.939
325.17,tiktok,image,1919,20,0.734,0,UAE,0.0894,6.51
560.56,facebook,image,15864,16,0.314,1,Saudi Arabia,0.0256,2.358
1651.11,tiktok,video,771,21,0.445,0,Saudi Arabia,0.1083,6.729
637.65,facebook,reel,6341,17,0.324,0,Egypt,0.0328,1.615
81.77,facebook,image,28332,16,0.597,0,Saudi Arabia,0.0189,1.84
607.04,instagram,video,8268,14,0.06,0,Jordan,0.041,1.682
1223.63,tiktok,carousel,4680,23,-0.044,0,Jordan,0.0947,1.48
330.49,instagram,carousel,21553,8,0.076,0,Saudi Arabia,0.0366,1.514
988.38,tiktok,reel,23676,21,0.335,0,Lebanon,0.0984,4.867
216.78,tiktok,reel,34236,16,0.223,1,Egypt,0.1049,2.997
105.96,instagram,reel,21200,16,0.549,0,Jordan,0.0801,4.042
458.08,facebook,image,26622,23,0.757,1,UAE,0.0357,3.425
83.03,instagram,video,18145,15,-0.042,1,Saudi Arabia,0.0617,6.087
325.12,tiktok,carousel,10851,15,0.043,1,UAE,0.0957,5.789
1284.54,instagram,image,8941,17,-0.203,0,Lebanon,0.048,1.334
72.33,twitter,image,6241,20,1.0,1,Saudi Arabia,0.0168,1.721
127.54,instagram,image,2135,16,0.407,1,UAE,0.0862,8.078
159.36,twitter,video,2833,12,0.468,1,Egypt,0.0388,1.938
381.08,tiktok,video,5941,15,-0.169,0,Egypt,0.0468,1.893
290.28,facebook,image,10568,23,0.3,0,Egypt,0.0208,0.652
1421.15,tiktok,reel,39533,18,0.478,1,UAE,0.1254,9.724
952.33,tiktok,story,7738,20,0.212,0,UAE,0.0647,4.211
630.02,twitter,image,24436,17,0.676,0,Egypt,0.0165,0.627
459.93,instagram,story,26562,15,1.0,0,Egypt,0.0562,3.23
574.73,facebook,image,6281,23,-0.031,0,Saudi Arabia,0.0187,1.025
185.72,instagram,story,15586,17,-0.058,0,Egypt,0.0298,1.257
872.61,facebook,story,6198,16,-0.007,1,Lebanon,0.0193,0.894
148.29,instagram,image,34694,22,0.862,1,Egypt,0.0729,4.718
855.63,facebook,reel,16308,15,0.665,1,Lebanon,0.0323,1.527
1173.24,facebook,story,2187,16,0.253,0,Lebanon,0.0133,0.447
487.74,facebook,story,9678,18,0.313,0,Saudi Arabia,0.0253,2.011
344.26,facebook,story,49658,18,0.014,0,Lebanon,0.0139,0.635
578.41,tiktok,carousel,6638,19,0.612,0,Lebanon,0.1037,3.64
50.0,tiktok,image,13259,23,0.167,0,Lebanon,0.0698,3.502
529.55,facebook,reel,14771,19,0.209,0,Saudi Arabia,0.0332,0.787
364.3,facebook,carousel,2590,8,0.513,1,Egypt,0.0355,1.515
385.46,twitter,carousel,14211,19,0.234,0,Lebanon,0.0201,1.061
761.95,instagram,video,1748,18,0.218,0,Saudi Arabia,0.0497,2.751
377.17,instagram,carousel,4071,18,0.304,0,Egypt,0.0438,1.739
144.58,instagram,image,26457,19,0.578,0,Lebanon,0.0484,0.61
355.22,facebook,reel,11997,18,0.876,0,Lebanon,0.0361,1.72
428.72,facebook,image,5796,18,0.505,0,Egypt,0.0165,0.733
447.39,tiktok,reel,13241,20,0.581,0,Egypt,0.1483,6.936
466.72,facebook,reel,7584,16,0.23,0,Saudi Arabia,0.0247,1.815
1028.06,instagram,video,8215,14,0.052,1,Egypt,0.0888,3.322
151.8,tiktok,video,16688,23,0.529,0,Lebanon,0.1517,7.307
472.54,tiktok,video,3640,15,0.36,0,UAE,0.1088,4.687
1288.12,instagram,story,8470,18,-0.198,0,Egypt,0.0372,1.033
84.68,instagram,reel,5747,12,0.185,0,UAE,0.0497,2.324
474.23,instagram,video,1416,18,0.271,0,Egypt,0.078,1.575
238.21,instagram,image,2943,14,0.121,1,Saudi Arabia,0.0502,2.611
288.98,instagram,image,45479,16,0.819,1,Egypt,0.0524,4.024
